DATE,WATER,OIL,RICE,BANANA,SNACKS,BISCUIT,FOOD,EGG,ONION,TOMATO,POTATO,CHILLY,MAAVU,COCONUT,MILK,BUS FARE,CURD,DMART THINGS,NET BILL,EB BILL,RENT,SUGAR,MOVIE,RECHARGE,KITCHEN NEEDED THINGS,EXTRA THINGS,TRAIN TICKETS,DAY-WISE-TOTAL
01/06/2026,,19.00,,,,,,,6.00,7.00,,,15.00,,6.00,,,,,,,,,,,,,53.00
02/06/2026,15.00,,,,,,,,,,,,,,8.00,10.00,5.00,,,,,,,,,,,38.00
03/06/2026,,23.75,,,,20.00,,25.60,,,,2.50,,8.75,5.50,10.00,,,,210.00,2400.00,,,,18.00,,,2724.10
04/06/2026,,,,32.00,,,,,,,,,,,9.75,10.00,20.00,,,,,,,,,60.00,,131.75
05/06/2026,15.00,,,25.00,20.00,,,,8.75,,,1.25,,,6.00,10.00,10.00,,,,,,,,,,,96.00
06/06/2026,,,,,10.00,,,,,,,,,25.00,,,10.00,,,,,,,,,,,45.00
07/06/2026,,22.50,65.00,,15.00,14.00,22.50,,,5.00,,,15.00,,7.33,,20.00,,,,,,,,,,,186.33
08/06/2026,,,,,,20.00,,26.00,12.50,,,,,,8.00,12.00,,,,,,,80.00,,,,,158.50
09/06/2026,15.00,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,25.00
10/06/2026,,,,,10.00,,,,,,,,,,6.00,10.00,10.00,,,,,,,850.00,,,,911.00
11/06/2026,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,10.00
12/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
13/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
14/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
15/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
16/06/2026,,,130.00,,,,,,,,,,,,10.00,10.00,,,,,,,,,,20.00,50.00,220.00
17/06/2026,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,10.00
18/06/2026,,35.20,,,,,,,,,,,15.00,,6.00,10.00,,,,,,,,,,,,66.20
19/06/2026,12.00,,,,,,,,7.50,7.50,,,,,,10.00,10.00,,,,,,,,,,,47.00
20/06/2026,,,,25.00,,,,,,,,,15.00,10.00,6.00,,,,,,,,,,15.34,,,71.34
21/06/2026,12.00,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,18.00
22/06/2026,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,10.00
23/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
24/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
25/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
26/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
27/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
28/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
29/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
30/06/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
PRODUCT-WISE-TOTAL,69.00,100.45,195.00,82.00,55.00,54.00,22.50,51.60,34.75,19.50,0.00,3.75,60.00,43.75,84.58,132.00,85.00,0.00,0.00,210.00,2400.00,0.00,80.00,850.00,33.34,80.00,50.00,4796.22
